Employee ID,Password,User Role,Last Name,First Name
10001,Garcia1983,EMPLOYEE,Garcia,Manuel III
10002,Lim1988,EMPLOYEE,Lim,Antonio
10003,Aquino1989,EMPLOYEE,Aquino,Bianca Sofia
10004,Reyes1994,EMPLOYEE,Reyes,Isabella
10005,Hernandez1989,EMPLOYEE,Hernandez,Eduard
10006,Villanueva1988,ADMIN,Villanueva,Andrea Mae
10007,San Jose1996,ADMIN,San Jose,Brad 
10008,Romualdez1992,ADMIN,Romualdez,Alice
10009,Atienza1948,ADMIN,Atienza,Rosie 
10010,Alvaro1988,ADMIN,Alvaro,Roderick
10011,Salcedo1993,ADMIN,Salcedo,Anthony
10012,Lopez1987,ADMIN,Lopez,Josie 
10013,Farala1942,ADMIN,Farala,Martha
10014,Martinez1970,ADMIN,Martinez,Leila
10015,Romualdez1985,ADMIN,Romualdez,Fredrick 
10016,Mata1987,ADMIN,Mata,Christian
10017,De Leon1975,ADMIN,De Leon,Selena 
10018,San Jose1986,EMPLOYEE,San Jose,Allison 
10019,Rosario1996,EMPLOYEE,Rosario,Cydney 
10020,Bautista1991,EMPLOYEE,Bautista,Mark 
10021,Lazaro1985,EMPLOYEE,Lazaro,Darlene 
10022,Delos Santos1980,EMPLOYEE,Delos Santos,Kolby 
10023,Santos1983,EMPLOYEE,Santos,Vella 
10024,Del Rosario1978,EMPLOYEE,Del Rosario,Tomas
10025,Tolentino1984,EMPLOYEE,Tolentino,Jacklyn 
